time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/explained_variance,train/value_loss,train/learning_rate,train/entropy_loss,train/n_updates,train/policy_loss,rollout/ep_rew_mean,rollout/success_rate,rollout/ep_len_mean
28224,3,7359,441,0.010777652263641357,4.960266590118408,0.0007,-2.113585948944092,440,1.645374059677124,-17.52293717,0.0,150.0
28288,3,7361,442,0.8063877820968628,1.7358555793762207,0.0007,-2.116053581237793,441,0.21776092052459717,-17.52293717,0.0,150.0
28352,3,7365,443,0.6876826286315918,0.2375159114599228,0.0007,-2.1424756050109863,442,-0.43788060545921326,-17.52293717,0.0,150.0
28416,3,7369,444,-0.012947678565979004,1.5419182777404785,0.0007,-2.1428987979888916,443,0.7711973190307617,-17.52293717,0.0,150.0
28480,3,7372,445,0.41364991664886475,2.748412609100342,0.0007,-2.135110378265381,444,2.1705307960510254,-17.52293717,0.0,150.0
28544,3,7375,446,0.38629812002182007,2.391258478164673,0.0007,-2.1326308250427246,445,2.2868716716766357,-17.52293717,0.0,150.0
28608,3,7379,447,0.5265659689903259,3.3423969745635986,0.0007,-2.1329457759857178,446,2.303694725036621,-17.52293717,0.0,150.0
28672,3,7383,448,0.8689655065536499,0.5094982981681824,0.0007,-2.1347033977508545,447,-0.8667478561401367,-17.52293717,0.0,150.0
28736,3,7387,449,0.49953776597976685,0.8990963697433472,0.0007,-2.1330928802490234,448,-0.7707003951072693,-17.52293717,0.0,150.0
28800,3,7390,450,0.150373637676239,1.4149065017700195,0.0007,-2.1340177059173584,449,-0.13808704912662506,-17.26894275,0.0,150.0
28864,3,7394,451,-0.30854618549346924,0.5507494211196899,0.0007,-2.127614736557007,450,-1.3963059186935425,-17.26894275,0.0,150.0
28928,3,7398,452,0.720038115978241,1.0272176265716553,0.0007,-2.109504222869873,451,-1.6748685836791992,-17.26894275,0.0,150.0
28992,3,7402,453,0.641815185546875,1.6519578695297241,0.0007,-2.110569953918457,452,0.926935613155365,-17.26894275,0.0,150.0
29056,3,7406,454,0.9080296754837036,0.5505576133728027,0.0007,-2.107529878616333,453,0.2814353108406067,-17.26894275,0.0,150.0
29120,3,7409,455,0.9305756092071533,0.626610517501831,0.0007,-2.1173501014709473,454,-0.7103395462036133,-17.26894275,0.0,150.0
29184,3,7411,456,0.7800828814506531,0.8893975019454956,0.0007,-2.116973638534546,455,-0.04664790630340576,-17.26894275,0.0,150.0
29248,3,7415,457,0.6847355365753174,0.6800356507301331,0.0007,-2.1216087341308594,456,-0.02448839321732521,-17.26894275,0.0,150.0
29312,3,7418,458,0.4298359751701355,1.6806532144546509,0.0007,-2.1044886112213135,457,-0.09457194805145264,-17.26894275,0.0,150.0
29376,3,7418,459,0.6300009489059448,1.0369949340820312,0.0007,-2.1225333213806152,458,-1.306380033493042,-17.26894275,0.0,150.0
29440,3,7420,460,0.6767098307609558,0.19296301901340485,0.0007,-2.1314523220062256,459,-0.4728190302848816,-17.401649690000003,0.0,150.0
29504,3,7422,461,0.9529430270195007,0.43519383668899536,0.0007,-2.0917892456054688,460,-0.32876330614089966,-17.401649690000003,0.0,150.0
29568,3,7424,462,0.2502650022506714,0.9065808057785034,0.0007,-2.0838258266448975,461,-0.6985280513763428,-17.401649690000003,0.0,150.0
29632,3,7427,463,-0.05754411220550537,0.7022632360458374,0.0007,-2.071415424346924,462,0.8348877429962158,-17.401649690000003,0.0,150.0
29696,3,7430,464,0.1317756175994873,2.7638580799102783,0.0007,-2.0747642517089844,463,2.345831871032715,-17.401649690000003,0.0,150.0
29760,4,7433,465,0.2598811984062195,1.4186795949935913,0.0007,-2.0831642150878906,464,1.5019452571868896,-17.401649690000003,0.0,150.0
29824,4,7437,466,0.2500156760215759,0.23256394267082214,0.0007,-2.0921409130096436,465,-0.2217954397201538,-17.401649690000003,0.0,150.0
29888,4,7440,467,0.09497833251953125,2.6076102256774902,0.0007,-2.100731134414673,466,0.7667384147644043,-17.401649690000003,0.0,150.0
29952,4,7442,468,0.0640137791633606,1.566053867340088,0.0007,-2.108325242996216,467,-2.332749366760254,-17.401649690000003,0.0,150.0
30016,4,7443,469,0.04255223274230957,1.3058743476867676,0.0007,-2.11553955078125,468,-1.7173190116882324,-17.658724709999998,0.0,150.0
30080,4,7443,470,0.9765456318855286,0.3080005645751953,0.0007,-2.10766339302063,469,-0.5910933613777161,-17.658724709999998,0.0,150.0
30144,4,7443,471,0.8221031427383423,0.2474726140499115,0.0007,-2.071805953979492,470,0.19351068139076233,-17.658724709999998,0.0,150.0
30208,4,7443,472,0.6785253286361694,1.5160447359085083,0.0007,-2.079136848449707,471,1.8707748651504517,-17.658724709999998,0.0,150.0
30272,4,7443,473,0.7424969673156738,1.4235429763793945,0.0007,-2.0804595947265625,472,0.2252393364906311,-17.658724709999998,0.0,150.0
30336,4,7445,474,0.9439258575439453,0.33240267634391785,0.0007,-2.0828232765197754,473,-0.30475059151649475,-17.658724709999998,0.0,150.0
30400,4,7447,475,0.9122463464736938,0.6803596019744873,0.0007,-2.0948140621185303,474,-0.2329608052968979,-17.658724709999998,0.0,150.0
30464,4,7449,476,0.8925561308860779,1.3044103384017944,0.0007,-2.0953562259674072,475,-1.547784686088562,-17.658724709999998,0.0,150.0
30528,4,7452,477,0.9188756346702576,0.5156846642494202,0.0007,-2.095571517944336,476,-0.43431591987609863,-17.658724709999998,0.0,150.0
30592,4,7455,478,0.6224769949913025,1.0654969215393066,0.0007,-2.095219612121582,477,0.10600927472114563,-17.658724709999998,0.0,150.0
30656,4,7457,479,0.6294147968292236,1.1402298212051392,0.0007,-2.0991759300231934,478,-1.6229838132858276,-17.778636080000002,0.0,150.0
30720,4,7460,480,0.9387077689170837,0.49553555250167847,0.0007,-2.081207275390625,479,0.14196962118148804,-17.778636080000002,0.0,150.0
30784,4,7464,481,0.9045430421829224,0.5371205806732178,0.0007,-2.075685501098633,480,-0.12749406695365906,-17.778636080000002,0.0,150.0
