time/total_timesteps,rollout/ep_len_mean,time/iterations,rollout/success_rate,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/loss,train/approx_kl,train/learning_rate,train/value_loss,train/entropy_loss,train/n_updates
32768,150.0,16,0.01,-11.462325060000001,4912,6,0.8098733425140381,-0.021354334019997624,0.14833984375,0.2,0.018146708607673645,0.012967211,0.0003,0.34190793086308985,-2.028003945201635,150
34816,150.0,17,0.01,-10.494505920000002,4920,7,0.770379364490509,-0.02588736581383273,0.18212890625,0.2,0.07644517719745636,0.014733952,0.0003,0.44808466294780375,-2.014762169867754,160
36864,150.0,18,0.02,-9.87684749,4926,7,0.8167436122894287,-0.02339018101920374,0.159912109375,0.2,0.053391650319099426,0.014550998,0.0003,0.3592070136917755,-2.0090144727379085,170
38912,150.0,19,0.02,-9.68834584,4934,7,0.8297048211097717,-0.023399309164960868,0.1609375,0.2,0.046071071177721024,0.014925634,0.0003,0.36160992381628604,-2.006933490559459,180
40960,150.0,20,0.02,-8.512445249999999,4908,8,0.8293512463569641,-0.020349497234565205,0.1259765625,0.2,0.01724907010793686,0.011626399,0.0003,0.36358794958796353,-1.94785799048841,190
43008,150.0,21,0.05,-7.7228003,4918,8,0.853965699672699,-0.019713119734660722,0.13701171875,0.2,0.03003103658556938,0.012795299,0.0003,0.2802094739396125,-1.9326374143362046,200
45056,150.0,22,0.05,-7.0330063,4927,9,0.7990511059761047,-0.021191120117146058,0.155517578125,0.2,0.017914216965436935,0.0152066,0.0003,0.30379479976836593,-1.9550786908715962,210
47104,150.0,23,0.06,-6.795804309999999,4932,9,0.8468146324157715,-0.02060646535246633,0.154150390625,0.2,0.05291851609945297,0.014670923,0.0003,0.33776716189458966,-1.8834637582302094,220
49152,150.0,24,0.05,-6.196982209999998,4939,9,0.7594584822654724,-0.01754079420934431,0.136767578125,0.2,0.15121743083000183,0.016035873,0.0003,0.3942654627375305,-1.8439121425151825,230
51200,150.0,25,0.04,-5.51731813,4943,10,0.8650268316268921,-0.021648672738228923,0.14931640625,0.2,0.06851904094219208,0.014742004,0.0003,0.3125226444331929,-1.8430082079023122,240
53248,150.0,26,0.05,-4.6618148900000005,4949,10,0.7394265532493591,-0.030531280205468646,0.183447265625,0.2,0.06413225829601288,0.015958827,0.0003,0.3001192968804389,-1.8351223655045033,250
55296,150.0,27,0.07,-4.04235118,4941,11,0.7962961792945862,-0.022733646055712597,0.17275390625,0.2,0.028752699494361877,0.013028573,0.0003,0.355630964692682,-1.8317837920039892,260
57344,150.0,28,0.08,-3.128370929999999,4947,11,0.8521236777305603,-0.02057273462851299,0.172412109375,0.2,0.09655599296092987,0.013633451,0.0003,0.47707695222925395,-1.7981390941888094,270
59392,150.0,29,0.11,-2.1615269300000004,4957,11,0.7120554447174072,-0.02330167028703727,0.1720703125,0.2,0.046565309166908264,0.016761545,0.0003,0.4639650987461209,-1.78607333637774,280
61440,150.0,30,0.12,-1.8910340199999995,4963,12,0.7969774007797241,-0.022937925901351262,0.173388671875,0.2,0.021188795566558838,0.015385003,0.0003,0.4735460992902517,-1.792340461909771,290
63488,150.0,31,0.13,-1.57445503,4973,12,0.8595325946807861,-0.01615054813664756,0.151513671875,0.2,0.09110845625400543,0.019108117,0.0003,0.3295699014794081,-1.7251223176717758,300
65536,150.0,32,0.13,-1.7759090100000001,4981,13,0.8058817386627197,-0.021173628891119733,0.17509765625,0.2,0.06038343906402588,0.016385358,0.0003,0.48547966082114724,-1.7416030000895262,310
67584,150.0,33,0.15,-1.26267512,4972,13,0.9420357942581177,-0.022034671100846025,0.15810546875,0.2,0.012486085295677185,0.014856989,0.0003,0.19907991907093675,-1.7174550205469132,320
69632,150.0,34,0.16,-1.06876905,4880,14,0.8407294154167175,-0.018264464635285547,0.147216796875,0.2,0.05189545452594757,0.014882194,0.0003,0.431709511205554,-1.7899697206914424,330
71680,150.0,35,0.17,-1.2372318999999998,4835,14,0.8277660608291626,-0.021851924798102117,0.172998046875,0.2,0.054913438856601715,0.01544904,0.0003,0.5163584334775806,-1.7311144042760134,340
73728,150.0,36,0.15,-1.48262353,4834,15,0.8198519945144653,-0.020214045663306025,0.172314453125,0.2,0.06670257449150085,0.014326611,0.0003,0.3728739894926548,-1.7392639335244895,350
75776,150.0,37,0.16,-1.5216511800000003,4829,15,0.6524533629417419,-0.022632722229172942,0.17978515625,0.2,0.3441283106803894,0.016518064,0.0003,0.5471642069518566,-1.6926927406340837,360
77824,150.0,38,0.18,-0.9395230500000002,4831,16,0.8142465353012085,-0.017057707904314157,0.175634765625,0.2,0.022757288068532944,0.017169923,0.0003,0.35452312340494246,-1.7269567627459765,370
79872,150.0,39,0.23,0.11532724999999992,4838,16,0.7761725783348083,-0.02110923419750179,0.17705078125,0.2,0.07874348759651184,0.013926817,0.0003,0.42328804042190316,-1.7796769581735135,380
81920,150.0,40,0.24,0.4776684399999999,4846,16,0.7590537667274475,-0.018701136182062327,0.17060546875,0.2,0.02519359067082405,0.01647906,0.0003,0.6151938284281642,-1.73878061324358,390
83968,150.0,41,0.24,0.8175070599999998,4840,17,0.7128276228904724,-0.025316501970519312,0.17958984375,0.2,0.01435977965593338,0.016562726,0.0003,0.37877968305256215,-1.7536719609051943,400
86016,150.0,42,0.25,0.9283486300000001,4848,17,0.7490269541740417,-0.02529262164607644,0.20078125,0.2,0.011905286461114883,0.01754374,0.0003,0.4191411351086572,-1.6607735436409712,410
88064,150.0,43,0.26,1.31115135,4854,18,0.824808657169342,-0.022471032047178596,0.158203125,0.2,0.02716938778758049,0.014235502,0.0003,0.4810919652460143,-1.710954314097762,420
90112,150.0,44,0.27,1.5413088299999997,4862,18,0.7656457424163818,-0.017820031339942942,0.132958984375,0.2,0.03132106363773346,0.011775177,0.0003,0.5289436290971935,-1.6628356751054525,430
92160,150.0,45,0.26,1.27725164,4870,18,0.7335629463195801,-0.023185615320107898,0.150390625,0.2,0.04529909789562225,0.016604718,0.0003,0.659313753200695,-1.609931143000722,440
94208,150.0,46,0.23,0.9040624600000003,4876,19,0.7819120287895203,-0.02089673409645911,0.16865234375,0.2,0.040183186531066895,0.014526729,0.0003,0.516499730804935,-1.6249611455947162,450
96256,150.0,47,0.21,0.6132514300000002,4880,19,0.8238145112991333,-0.018411459894559813,0.16337890625,0.2,0.1283085197210312,0.014089959,0.0003,0.5726140319835394,-1.6255533937364817,460
98304,150.0,48,0.22,0.6357914299999998,4887,20,0.7992674708366394,-0.025709495731280185,0.1876953125,0.2,0.01802244409918785,0.016913338,0.0003,0.376408792915754,-1.6264607410877943,470
100352,150.0,49,0.2,0.9302706099999999,4892,20,0.7720154523849487,-0.021147532363829668,0.194482421875,0.2,0.04331885278224945,0.01670811,0.0003,0.4916280808160082,-1.6589131224900484,480
