time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/learning_rate,train/explained_variance,train/value_loss,train/n_updates,train/policy_loss,train/entropy_loss,rollout/success_rate,rollout/ep_rew_mean,rollout/ep_len_mean
8124,1262,9,80768,0.0007,0.7447531223297119,0.6029629111289978,1261,0.3491561710834503,-2.0825157165527344,0.01,-13.43071401,150.0
8125,1263,9,80832,0.0007,0.7984733581542969,1.1689051389694214,1262,-1.7292420864105225,-2.077019214630127,0.01,-13.43071401,150.0
8126,1264,9,80896,0.0007,0.7476974725723267,0.6681569814682007,1263,-0.6838114261627197,-2.055521249771118,0.01,-13.43071401,150.0
8126,1265,9,80960,0.0007,0.81247878074646,0.5301582217216492,1264,-1.0291857719421387,-2.0053353309631348,0.01,-13.43071401,150.0
8126,1266,9,81024,0.0007,0.6778901815414429,0.4721755385398865,1265,-0.5910636186599731,-1.9989328384399414,0.01,-13.954684860000002,150.0
8126,1267,9,81088,0.0007,0.9937325119972229,0.25108495354652405,1266,-0.4282037317752838,-1.9754252433776855,0.01,-13.954684860000002,150.0
8127,1268,9,81152,0.0007,0.7569302916526794,0.9558684229850769,1267,0.6192070245742798,-1.9846315383911133,0.01,-13.954684860000002,150.0
8128,1269,9,81216,0.0007,0.9589194059371948,0.30632445216178894,1268,0.3008638322353363,-2.0116093158721924,0.01,-13.954684860000002,150.0
8129,1270,9,81280,0.0007,0.971508264541626,0.2949635088443756,1269,0.04163392633199692,-2.043483257293701,0.01,-13.954684860000002,150.0
8130,1271,10,81344,0.0007,0.9694686532020569,0.8862162828445435,1270,-0.9580733776092529,-2.0698976516723633,0.01,-13.954684860000002,150.0
8131,1272,10,81408,0.0007,0.9742640852928162,0.4858473241329193,1271,0.5976481437683105,-2.0616331100463867,0.01,-13.954684860000002,150.0
8132,1273,10,81472,0.0007,0.7387387752532959,3.458301544189453,1272,0.35384881496429443,-2.0496411323547363,0.01,-13.954684860000002,150.0
8133,1274,10,81536,0.0007,0.9541971683502197,0.33384495973587036,1273,-0.11988496035337448,-2.0508337020874023,0.01,-13.954684860000002,150.0
