rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/episodes,time/fps,rollout/success_rate,time/total_timesteps,train/learning_rate,train/loss,train/n_updates
0.05,9.917465199999999,150.0,93,2160,3479,0.63,324000,0.0005,0.05834249407052994,80749
0.05,9.788806419999998,150.0,93,2161,3479,0.62,324150,0.0005,0.02980761229991913,80787
0.05,9.8397619,150.0,93,2162,3479,0.62,324300,0.0005,0.023594968020915985,80824
0.05,9.84857314,150.0,93,2163,3479,0.62,324450,0.0005,0.04591921344399452,80862
0.05,9.676885579999999,150.0,93,2164,3479,0.61,324600,0.0005,0.1019645556807518,80899
0.05,9.89947575,150.0,93,2165,3479,0.62,324750,0.0005,0.05311676114797592,80937
0.05,9.76178963,150.0,93,2166,3479,0.61,324900,0.0005,0.015293908305466175,80974
0.05,9.800559869999999,150.0,93,2167,3478,0.61,325050,0.0005,0.020583387464284897,81012
0.05,9.88404326,150.0,93,2168,3477,0.61,325200,0.0005,0.045896995812654495,81049
0.05,9.98119516,150.0,93,2169,3477,0.61,325350,0.0005,0.12058570981025696,81087
0.05,10.140726639999999,150.0,93,2170,3477,0.62,325500,0.0005,0.029357999563217163,81124
0.05,10.103969430000001,150.0,93,2171,3477,0.62,325650,0.0005,0.03763923794031143,81162
0.05,10.092124509999998,150.0,93,2172,3477,0.62,325800,0.0005,0.09242057055234909,81199
0.05,9.88962426,150.0,93,2173,3477,0.61,325950,0.0005,0.06034315377473831,81237
0.05,9.7548889,150.0,93,2174,3477,0.61,326100,0.0005,0.049362730234861374,81274
0.05,9.487198939999999,150.0,93,2175,3477,0.6,326250,0.0005,0.03421759232878685,81312
0.05,9.649804829999999,150.0,93,2176,3477,0.61,326400,0.0005,0.030092664062976837,81349
0.05,9.5460236,150.0,93,2177,3477,0.6,326550,0.0005,0.011905045248568058,81387
0.05,9.5186258,150.0,93,2178,3477,0.6,326700,0.0005,0.037875380367040634,81424
0.05,9.62057214,150.0,93,2179,3477,0.61,326850,0.0005,0.0599486343562603,81462
0.05,9.60968329,150.0,94,2180,3477,0.6,327000,0.0005,0.045530349016189575,81499
0.05,9.69184244,150.0,94,2181,3477,0.6,327150,0.0005,0.12895634770393372,81537
0.05,9.86578033,150.0,94,2182,3477,0.61,327300,0.0005,0.04304599016904831,81574
0.05,9.589776900000002,150.0,94,2183,3477,0.6,327450,0.0005,0.039418019354343414,81612
0.05,9.899258830000003,150.0,94,2184,3477,0.61,327600,0.0005,0.05309612303972244,81649
0.05,9.89973051,150.0,94,2185,3476,0.61,327750,0.0005,0.048327650874853134,81687
0.05,9.77958776,150.0,94,2186,3476,0.61,327900,0.0005,0.03431307151913643,81724
0.05,9.56763216,150.0,94,2187,3476,0.61,328050,0.0005,0.0356583446264267,81762
0.05,9.351962,150.0,94,2188,3476,0.6,328200,0.0005,0.034737445414066315,81799
0.05,9.34649477,150.0,94,2189,3475,0.6,328350,0.0005,0.03348955512046814,81837
0.05,9.42291239,150.0,94,2190,3475,0.6,328500,0.0005,0.1189654991030693,81874
0.05,9.602665480000002,150.0,94,2191,3475,0.61,328650,0.0005,0.11521419882774353,81912
0.05,9.6589088,150.0,94,2192,3475,0.62,328800,0.0005,0.15426160395145416,81949
0.05,9.581277200000002,150.0,94,2193,3475,0.61,328950,0.0005,0.02734588086605072,81987
0.05,9.672085840000001,150.0,94,2194,3475,0.61,329100,0.0005,0.10489637404680252,82024
0.05,9.518819830000002,150.0,94,2195,3475,0.6,329250,0.0005,0.11226876080036163,82062
0.05,9.59220484,150.0,94,2196,3475,0.61,329400,0.0005,0.1387898474931717,82099
