time/total_timesteps,rollout/ep_rew_mean,rollout/exploration_rate,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/success_rate,time/episodes,train/learning_rate,train/loss,train/n_updates
45300,-6.968280839999998,0.05,12,150.0,3661,0.13,302,0.0003,0.06237419694662094,11074
45450,-6.9889733299999985,0.05,12,150.0,3660,0.13,303,0.0003,0.11426646262407303,11112
45600,-6.514131709999999,0.05,12,150.0,3660,0.14,304,0.0003,0.06135864555835724,11149
45750,-6.3663658199999995,0.05,12,150.0,3659,0.14,305,0.0003,0.037460941821336746,11187
45900,-6.41405124,0.05,12,150.0,3659,0.14,306,0.0003,0.08062892407178879,11224
46050,-6.45370547,0.05,12,150.0,3659,0.14,307,0.0003,0.06426870077848434,11262
46200,-6.4447890800000005,0.05,12,150.0,3658,0.14,308,0.0003,0.054717935621738434,11299
46350,-6.50138707,0.05,12,150.0,3658,0.14,309,0.0003,0.07030997425317764,11337
46500,-6.53375591,0.05,12,150.0,3657,0.14,310,0.0003,0.04156481474637985,11374
46650,-6.89584484,0.05,12,150.0,3657,0.13,311,0.0003,0.02709280326962471,11412
46800,-6.884692139999999,0.05,12,150.0,3656,0.13,312,0.0003,0.0672711431980133,11449
46950,-6.827942919999999,0.05,12,150.0,3656,0.13,313,0.0003,0.06239453703165054,11487
47100,-6.85193846,0.05,12,150.0,3656,0.13,314,0.0003,0.04011546075344086,11524
47250,-6.64685877,0.05,12,150.0,3655,0.14,315,0.0003,0.06942890584468842,11562
47400,-6.497386549999999,0.05,12,150.0,3655,0.14,316,0.0003,0.02632683701813221,11599
47550,-6.370299989999999,0.05,13,150.0,3654,0.14,317,0.0003,0.06980181485414505,11637
47700,-6.44356311,0.05,13,150.0,3654,0.14,318,0.0003,0.03069137968122959,11674
47850,-6.57985953,0.05,13,150.0,3653,0.14,319,0.0003,0.051077794283628464,11712
48000,-6.530272589999999,0.05,13,150.0,3653,0.14,320,0.0003,0.015628211200237274,11749
48150,-6.375229459999999,0.05,13,150.0,3652,0.14,321,0.0003,0.05635402351617813,11787
48300,-6.46962858,0.05,13,150.0,3652,0.14,322,0.0003,0.034818653017282486,11824
48450,-6.114715179999999,0.05,13,150.0,3651,0.14,323,0.0003,0.05567797273397446,11862
48600,-5.990135570000001,0.05,13,150.0,3651,0.14,324,0.0003,0.04422778636217117,11899
48750,-5.764102880000001,0.05,13,150.0,3650,0.15,325,0.0003,0.030570410192012787,11937
48900,-5.623808240000002,0.05,13,150.0,3650,0.16,326,0.0003,0.056777678430080414,11974
49050,-5.625932180000001,0.05,13,150.0,3650,0.16,327,0.0003,0.04603363201022148,12012
49200,-5.440001170000001,0.05,13,150.0,3649,0.17,328,0.0003,0.036346811801195145,12049
49350,-5.4376451800000005,0.05,13,150.0,3649,0.17,329,0.0003,0.0429837629199028,12087
49500,-5.390989970000001,0.05,13,150.0,3649,0.17,330,0.0003,0.028393544256687164,12124
49650,-5.38566276,0.05,13,150.0,3648,0.17,331,0.0003,0.06696473807096481,12162
49800,-5.35496369,0.05,13,150.0,3648,0.18,332,0.0003,0.041329801082611084,12199
49950,-5.2841819999999995,0.05,13,150.0,3648,0.18,333,0.0003,0.049862489104270935,12237
50100,-5.17887174,0.05,13,150.0,3647,0.18,334,0.0003,0.022213902324438095,12274
50250,-5.10999654,0.05,13,150.0,3647,0.18,335,0.0003,0.033649031072854996,12312
50400,-4.740716699999999,0.05,13,150.0,3646,0.19,336,0.0003,0.04846872761845589,12349
50550,-4.703152159999999,0.05,13,150.0,3646,0.19,337,0.0003,0.07565340399742126,12387
50700,-4.44683009,0.05,13,150.0,3646,0.19,338,0.0003,0.050801001489162445,12424
50850,-4.48788994,0.05,13,150.0,3646,0.19,339,0.0003,0.05340497940778732,12462
51000,-4.7839192,0.05,13,150.0,3645,0.18,340,0.0003,0.035929035395383835,12499
51150,-4.78309784,0.05,14,150.0,3645,0.18,341,0.0003,0.07931105047464371,12537
51300,-4.68715905,0.05,14,150.0,3644,0.18,342,0.0003,0.11895397305488586,12574
51450,-4.8782437199999995,0.05,14,150.0,3644,0.18,343,0.0003,0.02147301845252514,12612
51600,-4.731642450000001,0.05,14,150.0,3643,0.18,344,0.0003,0.01734073832631111,12649
51750,-4.99444879,0.05,14,150.0,3643,0.17,345,0.0003,0.07449396699666977,12687
51900,-5.14977526,0.05,14,150.0,3642,0.17,346,0.0003,0.03225922957062721,12724
52050,-5.02528918,0.05,14,150.0,3640,0.17,347,0.0003,0.06483027338981628,12762
52200,-5.130071689999999,0.05,14,150.0,3640,0.17,348,0.0003,0.030022233724594116,12799
52350,-4.953666180000001,0.05,14,150.0,3639,0.17,349,0.0003,0.037043891847133636,12837
52500,-4.96871824,0.05,14,150.0,3639,0.17,350,0.0003,0.07283810526132584,12874
52650,-4.906982060000002,0.05,14,150.0,3639,0.17,351,0.0003,0.053789615631103516,12912
52800,-4.714800370000001,0.05,14,150.0,3638,0.17,352,0.0003,0.041804760694503784,12949
52950,-4.789595850000001,0.05,14,150.0,3638,0.16,353,0.0003,0.07932785153388977,12987
53100,-4.87902541,0.05,14,150.0,3637,0.16,354,0.0003,0.06687426567077637,13024
53250,-4.86645277,0.05,14,150.0,3637,0.16,355,0.0003,0.04794527217745781,13062
53400,-4.84304865,0.05,14,150.0,3637,0.16,356,0.0003,0.06001560017466545,13099
53550,-4.74749433,0.05,14,150.0,3637,0.16,357,0.0003,0.04828376695513725,13137
53700,-4.66378267,0.05,14,150.0,3637,0.16,358,0.0003,0.02592410333454609,13174
53850,-4.88140535,0.05,14,150.0,3636,0.16,359,0.0003,0.03296908736228943,13212
54000,-4.91008919,0.05,14,150.0,3635,0.16,360,0.0003,0.07219202071428299,13249
54150,-5.01445496,0.05,14,150.0,3635,0.16,361,0.0003,0.04104936122894287,13287
54300,-5.30793709,0.05,14,150.0,3635,0.15,362,0.0003,0.04074522480368614,13324
54450,-5.12596614,0.05,14,150.0,3634,0.15,363,0.0003,0.05608062446117401,13362
54600,-5.087155429999999,0.05,15,150.0,3634,0.15,364,0.0003,0.07195257395505905,13399
54750,-5.084493980000001,0.05,15,150.0,3634,0.15,365,0.0003,0.06107071787118912,13437
54900,-5.1468793900000005,0.05,15,150.0,3634,0.15,366,0.0003,0.06042410433292389,13474
55050,-5.09679689,0.05,15,150.0,3633,0.15,367,0.0003,0.05560227110981941,13512
55200,-4.94542818,0.05,15,150.0,3632,0.15,368,0.0003,0.08850036561489105,13549
55350,-5.15964149,0.05,15,150.0,3632,0.14,369,0.0003,0.031999923288822174,13587
55500,-5.27173761,0.05,15,150.0,3632,0.14,370,0.0003,0.05368802696466446,13624
55650,-5.11576743,0.05,15,150.0,3630,0.14,371,0.0003,0.024144122377038002,13662
55800,-5.104814350000001,0.05,15,150.0,3630,0.14,372,0.0003,0.04460443928837776,13699
55950,-5.0127080699999995,0.05,15,150.0,3629,0.14,373,0.0003,0.13280008733272552,13737
56100,-5.017212130000001,0.05,15,150.0,3629,0.14,374,0.0003,0.11973864585161209,13774
56250,-5.02620874,0.05,15,150.0,3628,0.14,375,0.0003,0.08031198382377625,13812
56400,-4.99905828,0.05,15,150.0,3628,0.14,376,0.0003,0.03862642124295235,13849
56550,-4.96139478,0.05,15,150.0,3617,0.14,377,0.0003,0.06380625814199448,13887
56700,-4.85853522,0.05,15,150.0,3617,0.14,378,0.0003,0.05384926125407219,13924
56850,-5.118927640000001,0.05,15,150.0,3616,0.13,379,0.0003,0.035087700933218,13962
57000,-5.09466367,0.05,15,150.0,3616,0.13,380,0.0003,0.03638794645667076,13999
57150,-4.86572676,0.05,15,150.0,3615,0.14,381,0.0003,0.05248081684112549,14037
57300,-4.942983460000001,0.05,15,150.0,3615,0.14,382,0.0003,0.02789178490638733,14074
57450,-4.951622759999999,0.05,15,150.0,3614,0.14,383,0.0003,0.12200181186199188,14112
57600,-4.886434169999999,0.05,15,150.0,3613,0.14,384,0.0003,0.03504272922873497,14149
57750,-4.988164199999999,0.05,15,150.0,3613,0.14,385,0.0003,0.04485499486327171,14187
57900,-5.294204049999999,0.05,16,150.0,3612,0.14,386,0.0003,0.04752161726355553,14224
58050,-5.54707791,0.05,16,150.0,3612,0.14,387,0.0003,0.04240381345152855,14262
58200,-5.232539740000001,0.05,16,150.0,3612,0.15,388,0.0003,0.060425326228141785,14299
58350,-5.40377411,0.05,16,150.0,3609,0.15,389,0.0003,0.04195396602153778,14337
58500,-5.21689182,0.05,16,150.0,3608,0.16,390,0.0003,0.058190807700157166,14374
58650,-5.11440553,0.05,16,150.0,3607,0.16,391,0.0003,0.02820226363837719,14412
58800,-5.207354319999999,0.05,16,150.0,3607,0.15,392,0.0003,0.049343787133693695,14449
58950,-4.985495639999999,0.05,16,150.0,3606,0.15,393,0.0003,0.04738287255167961,14487
59100,-4.975144259999999,0.05,16,150.0,3606,0.15,394,0.0003,0.06020049750804901,14524
59250,-4.80883637,0.05,16,150.0,3606,0.15,395,0.0003,0.04203127697110176,14562
59400,-4.8587913999999985,0.05,16,150.0,3606,0.15,396,0.0003,0.04891541600227356,14599
59550,-4.8336332099999995,0.05,16,150.0,3605,0.15,397,0.0003,0.03833523020148277,14637
59700,-4.762527399999999,0.05,16,150.0,3605,0.15,398,0.0003,0.02494567260146141,14674
59850,-5.205185359999999,0.05,16,150.0,3604,0.14,399,0.0003,0.03711400181055069,14712
60000,-5.3003379499999985,0.05,16,150.0,3604,0.14,400,0.0003,0.05211407691240311,14749
60150,-5.254521979999998,0.05,16,150.0,3604,0.14,401,0.0003,0.07704399526119232,14787
60300,-5.252658569999999,0.05,16,150.0,3604,0.14,402,0.0003,0.07288236916065216,14824
60450,-5.1857706199999996,0.05,16,150.0,3603,0.14,403,0.0003,0.06566676497459412,14862
60600,-5.3423310399999995,0.05,16,150.0,3603,0.13,404,0.0003,0.051337823271751404,14899
60750,-5.408308659999998,0.05,16,150.0,3603,0.13,405,0.0003,0.05388154089450836,14937
60900,-5.623670579999998,0.05,16,150.0,3602,0.13,406,0.0003,0.07860568165779114,14974
61050,-5.55937522,0.05,16,150.0,3602,0.13,407,0.0003,0.043238118290901184,15012
61200,-5.58400881,0.05,16,150.0,3602,0.13,408,0.0003,0.05888673663139343,15049
61350,-5.603948499999999,0.05,17,150.0,3601,0.13,409,0.0003,0.04321214556694031,15087
61500,-5.52371914,0.05,17,150.0,3601,0.13,410,0.0003,0.08034762740135193,15124
61650,-5.3987862799999995,0.05,17,150.0,3600,0.13,411,0.0003,0.12923642992973328,15162
