time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/success_rate,time/iterations,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/loss,train/explained_variance,train/approx_kl,train/clip_fraction,train/n_updates,train/value_loss
45056,150.0,-2.15351523,5013,8,0.19,44,-1.7195725463330747,0.2,-0.022138813295168803,0.001,0.07078169286251068,0.5654347538948059,0.027206417,0.26328125,430,0.44523973050527277
46080,150.0,-1.97688955,5017,9,0.21,45,-1.6979753695428372,0.2,-0.03488464916008525,0.001,-0.04759322479367256,0.537327766418457,0.030745879,0.30361328125,440,0.3853769519366324
47104,150.0,-1.1857702799999998,5018,9,0.23,46,-1.7113996922969819,0.2,-0.04293598268995993,0.001,-0.020381763577461243,0.07187789678573608,0.034980256,0.39072265625,450,0.349943834124133
48128,150.0,-0.41737900999999994,5019,9,0.26,47,-1.6911276198923588,0.2,-0.030934493232052773,0.001,-0.025136027485132217,0.5370327830314636,0.029647715,0.363671875,460,0.3369027624838054
49152,150.0,-0.02743682000000014,5022,9,0.28,48,-1.5869830928742885,0.2,-0.028868410782888532,0.001,-0.020081467926502228,0.46985554695129395,0.033064004,0.32958984375,470,0.48467378835193814
50176,150.0,0.2951291800000003,5020,9,0.29,49,-1.5372572556138038,0.2,-0.026039273710921407,0.001,-0.031313810497522354,-0.04635882377624512,0.029288575,0.3025390625,480,0.5097379895392805
51200,150.0,0.57684478,5022,10,0.27,50,-1.5885994605720044,0.2,-0.030853364086942746,0.001,-0.022492706775665283,0.17942917346954346,0.027333543,0.28740234375,490,0.4582917970605195
52224,150.0,0.09718503999999992,5023,10,0.26,51,-1.6844969227910043,0.2,-0.03770120632252656,0.001,-0.06791620701551437,0.7011567950248718,0.03340571,0.34921875,500,0.3291493973694742
53248,150.0,0.09695218999999991,5025,10,0.26,52,-1.6654982164502143,0.2,-0.02598821421561297,0.001,0.0059286803007125854,0.6581466197967529,0.032040823,0.29169921875,510,0.3985097519354895
54272,150.0,-0.3188787600000002,5027,10,0.25,53,-1.625062993913889,0.2,-0.024584881821647288,0.001,-0.01568487659096718,0.6001255512237549,0.03258019,0.3298828125,520,0.31912150166463105
55296,150.0,-1.0205389,5028,10,0.24,54,-1.6248492203652858,0.2,-0.032757921144366264,0.001,-0.016412697732448578,0.7621939182281494,0.030091679,0.32880859375,530,0.2703948113368824
56320,150.0,-0.41310818000000005,5025,11,0.25,55,-1.5864912584424018,0.2,-0.02820137653616257,0.001,-0.010202430188655853,0.7326970100402832,0.03665227,0.3013671875,540,0.2792508064303547
57344,150.0,-0.12241587000000002,5026,11,0.26,56,-1.6805647552013396,0.2,-0.04010613543796353,0.001,-0.0757383406162262,0.8589674830436707,0.03110563,0.34013671875,550,0.25321393832564354
58368,150.0,-0.5742044700000004,5026,11,0.24,57,-1.5450319439172744,0.2,-0.027421442925697193,0.001,0.10740205645561218,0.7516390085220337,0.047542978,0.333984375,560,0.25280528229195626
59392,150.0,-0.8498664800000003,5016,11,0.23,58,-1.5539132460951806,0.2,-0.03280737930908799,0.001,-0.01954241469502449,0.7000201940536499,0.047232985,0.35087890625,570,0.28066538004204633
60416,150.0,-1.3690736899999998,5017,12,0.23,59,-1.7281280502676963,0.2,-0.035694074223283676,0.001,-0.08349259197711945,0.7560514807701111,0.035084527,0.34736328125,580,0.22227999134920537
61440,150.0,-1.86595631,5017,12,0.19,60,-1.6112111568450929,0.2,-0.03010547151498031,0.001,-0.06791086494922638,0.662373960018158,0.03121939,0.33896484375,590,0.18857214311137796
62464,150.0,-2.07745186,5019,12,0.19,61,-1.6976585976779461,0.2,-0.03676657238975167,0.001,-0.020953118801116943,0.7918620705604553,0.039111167,0.3453125,600,0.20096780452877283
63488,150.0,-2.0249991699999996,5018,12,0.2,62,-1.4671727426350116,0.2,-0.034899423096794634,0.001,0.027401957660913467,0.5655177235603333,0.040283717,0.34365234375,610,0.46837691583205016
