time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/entropy_loss,train/policy_loss,train/explained_variance,train/value_loss,train/learning_rate,train/n_updates,rollout/success_rate,rollout/ep_rew_mean,rollout/ep_len_mean
820,9551,0,41,-2.1113295555114746,-0.01516762189567089,0.03823816776275635,0.003392885671928525,0.0007,40,0.0,-23.519950750000003,200.0
840,9539,0,42,-2.1427295207977295,-0.507379949092865,0.20235717296600342,0.0619288869202137,0.0007,41,0.0,-23.519950750000003,200.0
860,9551,0,43,-2.107448101043701,-0.525071918964386,0.1448303461074829,0.0733628123998642,0.0007,42,0.0,-23.519950750000003,200.0
880,9568,0,44,-2.103937864303589,-0.4924912452697754,0.07584124803543091,0.0711960643529892,0.0007,43,0.0,-23.519950750000003,200.0
900,9584,0,45,-2.1096854209899902,-0.5204232931137085,0.07045924663543701,0.08106566965579987,0.0007,44,0.0,-23.519950750000003,200.0
920,9599,0,46,-2.1249301433563232,-0.5572322607040405,0.12225878238677979,0.08454233407974243,0.0007,45,0.0,-23.519950750000003,200.0
940,9614,0,47,-2.114912748336792,-0.6002093553543091,0.10175299644470215,0.09557335078716278,0.0007,46,0.0,-23.519950750000003,200.0
960,9630,0,48,-2.0860226154327393,-0.6100875735282898,0.10827773809432983,0.09565796703100204,0.0007,47,0.0,-23.519950750000003,200.0
980,9644,0,49,-2.0665690898895264,-0.5551434755325317,0.11474871635437012,0.10924587398767471,0.0007,48,0.0,-23.519950750000003,200.0
1000,9658,0,50,-2.0981245040893555,-0.6869354248046875,0.13845890760421753,0.13232430815696716,0.0007,49,0.0,-23.519950750000003,200.0
1020,9662,0,51,-2.106588840484619,-0.7651776075363159,0.14163678884506226,0.15130987763404846,0.0007,50,0.0,-23.519950750000003,200.0
1040,9672,0,52,-2.1038172245025635,-0.6004316806793213,0.1949540376663208,0.11771021038293839,0.0007,51,0.0,-23.519950750000003,200.0
1060,9681,0,53,-2.1284804344177246,-0.6620046496391296,0.17094898223876953,0.11248169094324112,0.0007,52,0.0,-23.519950750000003,200.0
1080,9681,0,54,-2.118551731109619,-0.6073725819587708,0.19347697496414185,0.07960698008537292,0.0007,53,0.0,-23.519950750000003,200.0
1100,9665,0,55,-2.07839298248291,-0.4243248999118805,0.17481714487075806,0.0560273639857769,0.0007,54,0.0,-23.519950750000003,200.0
1120,9675,0,56,-2.0903091430664062,-0.3741585612297058,0.08713752031326294,0.03851976618170738,0.0007,55,0.0,-23.519950750000003,200.0
1140,9679,0,57,-2.091571569442749,-0.21413032710552216,0.04291844367980957,0.015616236254572868,0.0007,56,0.0,-23.519950750000003,200.0
1160,9681,0,58,-2.102494716644287,-0.15870274603366852,-0.026783347129821777,0.00845741480588913,0.0007,57,0.0,-23.519950750000003,200.0
1180,9689,0,59,-2.102595090866089,-0.0513092465698719,0.14642006158828735,0.0014693780103698373,0.0007,58,0.0,-23.519950750000003,200.0
1200,9696,0,60,-2.097437620162964,-0.022933844476938248,0.10524386167526245,0.002062834333628416,0.0007,59,0.0,-23.519950750000003,200.0
1220,9704,0,61,-2.0981638431549072,0.0038469708524644375,-0.09919965267181396,0.0014377508778125048,0.0007,60,0.0,-23.519950750000003,200.0
1240,9710,0,62,-2.0990800857543945,0.04099709168076515,0.0879395604133606,0.0016205087304115295,0.0007,61,0.0,-23.519950750000003,200.0
1260,9716,0,63,-2.1110739707946777,0.1375027745962143,-0.10948622226715088,0.004854385741055012,0.0007,62,0.0,-23.519950750000003,200.0
1280,9722,0,64,-2.114882707595825,0.12780019640922546,0.1303362250328064,0.006101957056671381,0.0007,63,0.0,-23.519950750000003,200.0
1300,9730,0,65,-2.0952818393707275,0.15148665010929108,-0.13464117050170898,0.0070420862175524235,0.0007,64,0.0,-23.519950750000003,200.0
1320,9736,0,66,-2.1034886837005615,0.19190451502799988,0.3474431037902832,0.008598491549491882,0.0007,65,0.0,-23.519950750000003,200.0
1340,9743,0,67,-2.117736339569092,0.11497064679861069,0.4386758804321289,0.0064868503250181675,0.0007,66,0.0,-23.519950750000003,200.0
1360,9750,0,68,-2.1172752380371094,0.16219666600227356,0.6037590503692627,0.008790473453700542,0.0007,67,0.0,-23.519950750000003,200.0
1380,9756,0,69,-2.0951156616210938,0.06175703927874565,-0.465854287147522,0.007091204170137644,0.0007,68,0.0,-23.519950750000003,200.0
1400,9764,0,70,-2.1073670387268066,0.11488697677850723,0.3727240562438965,0.005566785577684641,0.0007,69,0.0,-23.519950750000003,200.0
1420,9771,0,71,-2.088026762008667,0.06678591668605804,0.4330856204032898,0.0024127927608788013,0.0007,70,0.0,-23.519950750000003,200.0
1440,9776,0,72,-2.084536075592041,-0.0526125431060791,0.28996753692626953,0.006580329034477472,0.0007,71,0.0,-23.519950750000003,200.0
1460,9781,0,73,-2.070744752883911,0.03484721854329109,0.16488128900527954,0.0012970746029168367,0.0007,72,0.0,-23.519950750000003,200.0
1480,9786,0,74,-2.063837766647339,0.06379280984401703,0.6144540309906006,0.002506564138457179,0.0007,73,0.0,-23.519950750000003,200.0
1500,9788,0,75,-2.0584876537323,-0.09082818031311035,0.3625689148902893,0.011227408424019814,0.0007,74,0.0,-23.519950750000003,200.0
1520,9792,0,76,-2.077547550201416,0.01536490023136139,0.5405910015106201,0.0009019725257530808,0.0007,75,0.0,-23.519950750000003,200.0
1540,9798,0,77,-2.0726311206817627,0.029359916225075722,0.5091915130615234,0.0007003159262239933,0.0007,76,0.0,-23.519950750000003,200.0
1560,9805,0,78,-2.0739119052886963,0.017325926572084427,-1.2554550170898438,0.0034365630708634853,0.0007,77,0.0,-23.519950750000003,200.0
1580,9813,0,79,-2.065725564956665,0.045391496270895004,-0.014801263809204102,0.0008994968375191092,0.0007,78,0.0,-23.519950750000003,200.0
1600,9802,0,80,-2.0659141540527344,-0.04151212424039841,-0.20496070384979248,0.004105203785002232,0.0007,79,0.0,-23.436808875,200.0
1620,9804,0,81,-2.03419828414917,-0.04156417399644852,-0.3442806005477905,0.002451882930472493,0.0007,80,0.0,-23.436808875,200.0
1640,9808,0,82,-2.093074083328247,-0.41285404562950134,-0.019096016883850098,0.041429974138736725,0.0007,81,0.0,-23.436808875,200.0
1660,9813,0,83,-2.0188751220703125,-0.3312845230102539,0.0011187195777893066,0.04213365167379379,0.0007,82,0.0,-23.436808875,200.0
1680,9818,0,84,-2.034052848815918,-0.4655723571777344,0.024496853351593018,0.0501582995057106,0.0007,83,0.0,-23.436808875,200.0
1700,9825,0,85,-1.9999401569366455,-0.4095838665962219,0.04160720109939575,0.05989757180213928,0.0007,84,0.0,-23.436808875,200.0
1720,9830,0,86,-2.0075323581695557,-0.41695675253868103,0.07468122243881226,0.06305501610040665,0.0007,85,0.0,-23.436808875,200.0
1740,9835,0,87,-2.0227715969085693,-0.4521160125732422,0.11920231580734253,0.06377707421779633,0.0007,86,0.0,-23.436808875,200.0
