time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/explained_variance,train/learning_rate,train/value_loss,train/n_updates,train/entropy_loss,train/policy_loss,rollout/success_rate,rollout/ep_len_mean,rollout/ep_rew_mean
8436,82240,9,1285,-0.0001665353775024414,0.0003,1.3031736612319946,1284,-2.0653388500213623,-0.6254268884658813,0.01,150.0,-16.72025103
8437,82304,9,1286,0.9928692579269409,0.0003,0.14447355270385742,1285,-2.0684115886688232,-0.24905385076999664,0.01,150.0,-16.72025103
8437,82368,9,1287,0.6905124187469482,0.0003,0.43826931715011597,1286,-2.074948310852051,0.7484025359153748,0.01,150.0,-16.72025103
8438,82432,9,1288,0.08663707971572876,0.0003,3.0696306228637695,1287,-2.076047897338867,1.9669487476348877,0.01,150.0,-16.72025103
8439,82496,9,1289,0.6251082420349121,0.0003,1.9274709224700928,1288,-2.079517364501953,1.055455207824707,0.01,150.0,-16.72025103
8440,82560,9,1290,0.5399641990661621,0.0003,2.227384090423584,1289,-2.091838836669922,1.320677399635315,0.01,150.0,-16.72025103
8441,82624,9,1291,0.5315417647361755,0.0003,1.324347972869873,1290,-2.0954573154449463,-0.4277772307395935,0.01,150.0,-16.72025103
8442,82688,9,1292,0.16450083255767822,0.0003,1.3092060089111328,1291,-2.106174945831299,-1.8484326601028442,0.01,150.0,-16.72025103
8442,82752,9,1293,0.004354357719421387,0.0003,1.4921338558197021,1292,-2.104564666748047,-1.7406952381134033,0.01,150.0,-16.72025103
8443,82816,9,1294,0.045610129833221436,0.0003,0.9742099642753601,1293,-2.1126673221588135,-1.5312918424606323,0.0,150.0,-16.905436949999995
8444,82880,9,1295,0.9913985133171082,0.0003,0.44217127561569214,1294,-2.1115152835845947,-1.0529603958129883,0.0,150.0,-16.905436949999995
8444,82944,9,1296,0.47675132751464844,0.0003,0.2780044972896576,1295,-2.0978949069976807,-0.703665018081665,0.0,150.0,-16.905436949999995
8445,83008,9,1297,0.5733864307403564,0.0003,0.7555088400840759,1296,-2.104231595993042,-0.7068202495574951,0.0,150.0,-16.905436949999995
8446,83072,9,1298,0.928488552570343,0.0003,0.20633724331855774,1297,-2.106204032897949,-0.5497079491615295,0.0,150.0,-16.905436949999995
8447,83136,9,1299,0.9172790050506592,0.0003,0.13262075185775757,1298,-2.1049046516418457,0.13408811390399933,0.0,150.0,-16.905436949999995
8447,83200,9,1300,0.46120160818099976,0.0003,3.07841157913208,1299,-2.099432945251465,1.468095064163208,0.0,150.0,-16.905436949999995
8448,83264,9,1301,0.19376647472381592,0.0003,1.4144794940948486,1300,-2.0978283882141113,1.099111795425415,0.0,150.0,-16.905436949999995
8449,83328,9,1302,-2.402926206588745,0.0003,0.500247061252594,1301,-2.0990233421325684,-0.6353678703308105,0.0,150.0,-16.905436949999995
8450,83392,9,1303,0.22660130262374878,0.0003,0.5985972881317139,1302,-2.1051888465881348,-0.9705570340156555,0.0,150.0,-16.905436949999995
8450,83456,9,1304,0.1942501664161682,0.0003,0.5003204345703125,1303,-2.1057825088500977,-0.8331230878829956,0.0,150.0,-16.84236099
8451,83520,9,1305,0.9607669711112976,0.0003,0.4160662293434143,1304,-2.0962491035461426,-0.8180637359619141,0.0,150.0,-16.84236099
8452,83584,9,1306,0.6911039352416992,0.0003,2.643498659133911,1305,-2.094449996948242,1.1493470668792725,0.0,150.0,-16.84236099
8453,83648,9,1307,0.8235259056091309,0.0003,0.847831666469574,1306,-2.1005654335021973,-0.45303240418434143,0.0,150.0,-16.84236099
8454,83712,9,1308,0.6573249697685242,0.0003,3.544125556945801,1307,-2.1076407432556152,1.1374964714050293,0.0,150.0,-16.84236099
8454,83776,9,1309,0.6492887735366821,0.0003,0.9586544036865234,1308,-2.114027738571167,0.6366997957229614,0.0,150.0,-16.84236099
8455,83840,9,1310,0.623785138130188,0.0003,0.6476339101791382,1309,-2.1231179237365723,-0.11661313474178314,0.0,150.0,-16.84236099
8456,83904,9,1311,-0.05686664581298828,0.0003,0.8291662931442261,1310,-2.128199338912964,0.2172018587589264,0.0,150.0,-16.84236099
8457,83968,9,1312,0.3655889630317688,0.0003,1.4333853721618652,1311,-2.127758264541626,-0.2348698228597641,0.0,150.0,-16.84236099
8457,84032,9,1313,0.5548782348632812,0.0003,0.4427095353603363,1312,-2.125687599182129,-0.5825916528701782,0.0,150.0,-17.005000610000003
8458,84096,9,1314,0.9890618324279785,0.0003,0.22227299213409424,1313,-2.1109304428100586,0.004651196300983429,0.0,150.0,-17.005000610000003
8459,84160,9,1315,0.30657660961151123,0.0003,1.8321640491485596,1314,-2.0924477577209473,1.622748851776123,0.0,150.0,-17.005000610000003
8460,84224,9,1316,0.30811774730682373,0.0003,0.9712704420089722,1315,-2.0972328186035156,0.3984770178794861,0.0,150.0,-17.005000610000003
8461,84288,9,1317,0.3687525987625122,0.0003,0.6787370443344116,1316,-2.1079626083374023,-0.13720299303531647,0.0,150.0,-17.005000610000003
8461,84352,9,1318,0.9008051156997681,0.0003,0.27380383014678955,1317,-2.1228342056274414,-0.6950784921646118,0.0,150.0,-17.005000610000003
8462,84416,9,1319,0.9315861463546753,0.0003,0.22248567640781403,1318,-2.124872922897339,-0.5568851828575134,0.0,150.0,-17.005000610000003
8463,84480,9,1320,0.7547544240951538,0.0003,0.33023306727409363,1319,-2.119805335998535,-0.8153155446052551,0.0,150.0,-17.005000610000003
8463,84544,9,1321,0.5646651983261108,0.0003,0.2507518529891968,1320,-2.1170504093170166,-0.28350409865379333,0.0,150.0,-17.005000610000003
8464,84608,9,1322,0.30086368322372437,0.0003,0.3502371907234192,1321,-2.11079740524292,-0.701503336429596,0.0,150.0,-16.96347091
8464,84672,10,1323,0.9880460500717163,0.0003,0.1937798410654068,1322,-2.1112074851989746,-0.48602500557899475,0.0,150.0,-16.96347091
8465,84736,10,1324,0.8492132425308228,0.0003,0.5307188630104065,1323,-2.0973281860351562,-1.2024955749511719,0.0,150.0,-16.96347091
8466,84800,10,1325,0.677209734916687,0.0003,1.702807068824768,1324,-2.099414825439453,-0.1259387731552124,0.0,150.0,-16.96347091
8466,84864,10,1326,0.2229444980621338,0.0003,2.3327219486236572,1325,-2.108593702316284,0.5429610013961792,0.0,150.0,-16.96347091
8467,84928,10,1327,-0.7645262479782104,0.0003,1.6357451677322388,1326,-2.1088993549346924,-0.7541226744651794,0.0,150.0,-16.96347091
8468,84992,10,1328,0.5766937732696533,0.0003,0.298214852809906,1327,-2.119863510131836,-0.4306042790412903,0.0,150.0,-16.96347091
8469,85056,10,1329,0.11519074440002441,0.0003,0.4241703152656555,1328,-2.12111234664917,-0.45386892557144165,0.0,150.0,-16.96347091
8469,85120,10,1330,0.0361403226852417,0.0003,1.097585916519165,1329,-2.113827705383301,0.4371749758720398,0.0,150.0,-16.96347091
8470,85184,10,1331,0.1282486915588379,0.0003,0.23813386261463165,1330,-2.128713369369507,-0.15517041087150574,0.0,150.0,-16.96347091
8471,85248,10,1332,0.05774897336959839,0.0003,0.20857968926429749,1331,-2.123694658279419,-0.6027836799621582,0.0,150.0,-17.267828039999998
8472,85312,10,1333,0.9726150035858154,0.0003,0.33480075001716614,1332,-2.094883918762207,-0.16663695871829987,0.0,150.0,-17.267828039999998
8472,85376,10,1334,0.6850541830062866,0.0003,0.20334212481975555,1333,-2.086214780807495,-0.060903601348400116,0.0,150.0,-17.267828039999998
8473,85440,10,1335,0.4625282883644104,0.0003,1.521862506866455,1334,-2.093358039855957,-0.12229767441749573,0.0,150.0,-17.267828039999998
8474,85504,10,1336,0.853882372379303,0.0003,0.7097095251083374,1335,-2.0993692874908447,-1.382545828819275,0.0,150.0,-17.267828039999998
8475,85568,10,1337,0.0651196837425232,0.0003,1.1989820003509521,1336,-2.101053476333618,1.2820782661437988,0.0,150.0,-17.267828039999998
8476,85632,10,1338,0.271872878074646,0.0003,3.3554253578186035,1337,-2.107330799102783,0.9185799360275269,0.0,150.0,-17.267828039999998
8476,85696,10,1339,0.21826308965682983,0.0003,2.161236524581909,1338,-2.115196943283081,-0.5680930614471436,0.0,150.0,-17.267828039999998
8477,85760,10,1340,0.17745143175125122,0.0003,2.165001630783081,1339,-2.114245891571045,-0.8615994453430176,0.0,150.0,-17.267828039999998
8476,85824,10,1341,0.2556998133659363,0.0003,1.2278939485549927,1340,-2.1170592308044434,-1.9772934913635254,0.0,150.0,-17.79673272
8477,85888,10,1342,0.9733348488807678,0.0003,0.5340381264686584,1341,-2.1076173782348633,-0.3763044476509094,0.0,150.0,-17.79673272
8478,85952,10,1343,0.6666994094848633,0.0003,0.6210916042327881,1342,-2.1011710166931152,0.3367338180541992,0.0,150.0,-17.79673272
8478,86016,10,1344,0.6459165811538696,0.0003,1.5439307689666748,1343,-2.096562623977661,1.4917490482330322,0.0,150.0,-17.79673272
8479,86080,10,1345,0.5820963382720947,0.0003,3.070042133331299,1344,-2.095367193222046,2.4448904991149902,0.0,150.0,-17.79673272
8480,86144,10,1346,0.8283970952033997,0.0003,0.2322482168674469,1345,-2.0918612480163574,-0.47865918278694153,0.0,150.0,-17.79673272
8481,86208,10,1347,-0.30901074409484863,0.0003,2.468162775039673,1346,-2.0848753452301025,1.1537026166915894,0.0,150.0,-17.79673272
8481,86272,10,1348,0.31836700439453125,0.0003,2.712491750717163,1347,-2.0869157314300537,-0.48309969902038574,0.0,150.0,-17.79673272
8482,86336,10,1349,0.644355058670044,0.0003,0.8387735486030579,1348,-2.0863773822784424,-0.8676193356513977,0.0,150.0,-17.79673272
8483,86400,10,1350,0.3334009051322937,0.0003,0.4547097086906433,1349,-2.09128999710083,-1.1156977415084839,0.0,150.0,-17.42609713
8484,86464,10,1351,-0.5125190019607544,0.0003,0.7656159400939941,1350,-2.0929861068725586,-1.5991798639297485,0.0,150.0,-17.42609713
8484,86528,10,1352,0.8773266673088074,0.0003,0.2787945568561554,1351,-2.079070568084717,-0.012912444770336151,0.0,150.0,-17.42609713
8485,86592,10,1353,0.7573343515396118,0.0003,0.5286752581596375,1352,-2.089729070663452,0.5620477795600891,0.0,150.0,-17.42609713
8486,86656,10,1354,0.6685702800750732,0.0003,1.2221903800964355,1353,-2.091747283935547,-0.30268678069114685,0.0,150.0,-17.42609713
8487,86720,10,1355,0.8442713618278503,0.0003,0.8802655339241028,1354,-2.093348741531372,-0.7223671078681946,0.0,150.0,-17.42609713
8487,86784,10,1356,0.44018131494522095,0.0003,0.5983888506889343,1355,-2.107220411300659,0.3297162652015686,0.0,150.0,-17.42609713
