rollout/success_rate,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/value_loss,train/loss,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/learning_rate,train/n_updates,train/clip_range,train/approx_kl
0.09,45056,9,150.0,22,4759,-5.760378190000001,-1.9607603702694179,0.4766787099419162,0.0352650061249733,-0.022659328978625125,0.176416015625,0.6784453988075256,0.0003,210,0.2,0.016793193
0.11,47104,9,150.0,23,4774,-4.879007400000001,-1.9482901554554701,0.38110220776870846,-0.00834999606013298,-0.022968418881646357,0.15126953125,0.748956561088562,0.0003,220,0.2,0.014704107
0.12,49152,10,150.0,24,4789,-5.03830916,-1.8969736080616713,0.4195435422239825,0.0077856555581092834,-0.0208630338544026,0.152587890625,0.7633640766143799,0.0003,230,0.2,0.014289174
0.15,51200,10,150.0,25,4799,-4.3298727900000005,-1.9319692835211755,0.5308524612337351,0.0873410701751709,-0.02134776570746908,0.1404296875,0.6954909563064575,0.0003,240,0.2,0.011687939
0.16,53248,11,150.0,26,4802,-3.8238993099999994,-1.8545598715543747,0.4266366541851312,0.04799984395503998,-0.021314273060124834,0.15947265625,0.7906060218811035,0.0003,250,0.2,0.012962276
0.12,55296,11,150.0,27,4815,-4.22135724,-1.9307129226624966,0.43401836128905413,0.09299466758966446,-0.02348986635770416,0.18115234375,0.744345486164093,0.0003,260,0.2,0.01735718
0.11,57344,11,150.0,28,4826,-3.7430025899999997,-1.8380277898162602,0.2872295262059197,-0.010599009692668915,-0.023391585156787187,0.1640625,0.784564733505249,0.0003,270,0.2,0.015100689
0.14,59392,12,150.0,29,4836,-3.1178559999999993,-1.8580272693186999,0.5120284987380728,0.03331144154071808,-0.020833976785070263,0.14296875,0.7055143117904663,0.0003,280,0.2,0.011830829
0.15,61440,12,150.0,30,4841,-2.8775397599999994,-1.8279554609209299,0.57391742519103,0.11088386178016663,-0.022759255608252715,0.1548828125,0.653759241104126,0.0003,290,0.2,0.013452289
0.16,63488,13,150.0,31,4849,-2.30568034,-1.8308999627828597,0.5661188778933137,0.0660184919834137,-0.022579652196145616,0.165478515625,0.6094764471054077,0.0003,300,0.2,0.0135770105
0.13,65536,13,150.0,32,4856,-2.15160228,-1.7913390696048737,0.5036842843052,0.06753860414028168,-0.021008891239762306,0.142041015625,0.8317478895187378,0.0003,310,0.2,0.01319363
0.15,67584,13,150.0,33,4861,-1.2228797500000004,-1.7404588591307402,0.5547681245952845,0.12232762575149536,-0.021784627898887264,0.148193359375,0.8328149914741516,0.0003,320,0.2,0.013318807
0.17,69632,14,150.0,34,4869,-0.9354211000000002,-1.7770543180406093,0.4672689306316897,0.09863729029893875,-0.023979276575846597,0.173583984375,0.7160930037498474,0.0003,330,0.2,0.016022703
0.17,71680,14,150.0,35,4877,-1.23348497,-1.6980086121708156,0.4522494142409414,0.022187866270542145,-0.025979820056818426,0.188037109375,0.7669576406478882,0.0003,340,0.2,0.016222684
