time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,rollout/success_rate,time/time_elapsed,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/value_loss,train/loss,train/learning_rate,train/approx_kl,train/clip_fraction,train/clip_range
51200,25,0.5219803799999998,5005,150.0,0.15,10,0.7439616322517395,-1.7373443976044656,-0.024278909876011313,240,0.24872233595233412,-0.02123362198472023,0.001,0.029562406,0.306591796875,0.2
53248,26,0.6847051599999997,4977,150.0,0.17,10,0.5854263305664062,-1.68366433493793,-0.03256571800884558,250,0.2866554746637121,-0.0073384009301662445,0.001,0.02990047,0.335595703125,0.2
55296,27,0.30022625999999986,4978,150.0,0.19,11,0.647223949432373,-1.694523187354207,-0.030573558737523855,260,0.2654704340850003,-0.014111503958702087,0.001,0.039419346,0.300244140625,0.2
57344,28,0.7223949999999998,4979,150.0,0.21,11,0.41872286796569824,-1.6608021222054958,-0.02238471526216017,270,0.2536776553373784,-0.0204111710190773,0.001,0.030504186,0.304931640625,0.2
59392,29,0.06681585999999977,4827,150.0,0.17,12,0.7185615301132202,-1.7109096929430962,-0.03680416331626475,280,0.24181832568719983,-0.03573371097445488,0.001,0.03311899,0.330126953125,0.2
61440,30,0.7569198700000002,4514,150.0,0.19,13,0.6431541442871094,-1.6927443649619818,-0.030648614600067958,290,0.21864990971516818,-0.018527328968048096,0.001,0.05862612,0.281005859375,0.2
63488,31,0.3511777599999998,4536,150.0,0.19,13,0.5853683948516846,-1.6591636549681426,-0.024687489325879143,300,0.251621762488503,0.06393107771873474,0.001,0.03379087,0.3240234375,0.2
65536,32,0.1643127700000003,4552,150.0,0.19,14,0.7048114538192749,-1.6919044997543096,-0.030618813305045477,310,0.20192444763379172,-0.060636620968580246,0.001,0.039813843,0.3349609375,0.2
67584,33,1.01596126,4568,150.0,0.21,14,0.6988803148269653,-1.6168392386287451,-0.03025576804066077,320,0.25009969107341024,0.0038639195263385773,0.001,0.032985374,0.32412109375,0.2
69632,34,0.80287615,4579,150.0,0.18,15,0.7393242120742798,-1.6171514805406333,-0.019076559103268664,330,0.2517807357478887,0.049304503947496414,0.001,0.025847277,0.3064453125,0.2
71680,35,1.20765694,4597,150.0,0.18,15,0.7683385610580444,-1.697421034052968,-0.02834352479840163,340,0.27577421540627256,0.019659414887428284,0.001,0.03033217,0.301416015625,0.2
73728,36,1.8699504299999996,4615,150.0,0.22,15,0.7848161458969116,-1.6275531083345414,-0.02284308861126192,350,0.2366239630850032,-0.03369515761733055,0.001,0.026621893,0.27451171875,0.2
75776,37,1.6767439899999999,4544,150.0,0.21,16,0.7755868434906006,-1.627371945604682,-0.024684827687451616,360,0.2689489505952224,-0.03460661321878433,0.001,0.040876165,0.3232421875,0.2
77824,38,1.7250644199999996,4490,150.0,0.21,17,0.6513157486915588,-1.598208962008357,-0.027467803479521536,370,0.25959667535498737,-0.01130024716258049,0.001,0.04142332,0.309130859375,0.2
79872,39,2.3182702899999996,4431,150.0,0.23,18,0.7087117433547974,-1.5872431691735982,-0.02831328533939086,380,0.26134388354839755,0.0012155771255493164,0.001,0.029942606,0.305419921875,0.2
81920,40,2.51741751,4399,150.0,0.22,18,0.7867745161056519,-1.568979639187455,-0.029465934272593586,390,0.2627429240732454,-0.06476780772209167,0.001,0.030470667,0.31142578125,0.2
83968,41,2.7996461900000003,4404,150.0,0.21,19,0.6702823638916016,-1.5638978522270919,-0.025630135883693582,400,0.22545071670319886,-0.04458167031407356,0.001,0.048604473,0.31474609375,0.2
86016,42,3.057448589999999,4400,150.0,0.23,19,0.6265324354171753,-1.5568088229745627,-0.030729622884246056,410,0.22471708001103252,-0.04129590839147568,0.001,0.034109756,0.322265625,0.2
88064,43,2.6471283,4398,150.0,0.2,20,0.5701255798339844,-1.5616882484406234,-0.03339850789052434,420,0.29219178860075773,-0.015023499727249146,0.001,0.033020087,0.309912109375,0.2
90112,44,3.03800384,4366,150.0,0.21,20,0.8007593750953674,-1.6196384962648154,-0.02162619176961016,430,0.23453932566335425,-0.03325432538986206,0.001,0.034830645,0.35888671875,0.2
92160,45,3.9750513399999994,4349,150.0,0.23,21,0.6047946810722351,-1.6365935828536748,-0.031758601262117735,440,0.3236276697833091,0.0017582736909389496,0.001,0.032555103,0.326953125,0.2
94208,46,3.7503151399999997,4355,150.0,0.24,21,0.69766765832901,-1.4925311092287301,-0.025180021270352883,450,0.28685021663550286,-0.02325289696455002,0.001,0.038985275,0.32509765625,0.2
96256,47,2.9707703399999996,4348,150.0,0.2,22,0.8374899625778198,-1.5906652871519327,-0.01925872610445367,460,0.25209027802338824,0.029230035841464996,0.001,0.041811053,0.328125,0.2
98304,48,3.192918040000001,4355,150.0,0.23,22,0.8747153282165527,-1.574363188073039,-0.03239611646858975,470,0.1718729171261657,-0.0207928866147995,0.001,0.043916177,0.3828125,0.2
100352,49,2.8091485900000004,4359,150.0,0.2,23,0.8342010378837585,-1.5421038772910833,-0.025135544445947743,480,0.23293220688356087,-0.015186667442321777,0.001,0.03577903,0.3384765625,0.2
