time/total_timesteps,rollout/ep_rew_mean,train/entropy,train/policy_loss,train/value_loss
64800,-16.4828,2.092,-5.8345,0.0
65100,-16.5184,2.0535,-5.6322,0.0
65400,-16.3878,2.056,-4.9331,0.0
65700,-16.2945,2.0222,-5.9865,0.0
66000,-16.1243,2.0304,-2.8127,0.0
66300,-15.9088,2.0193,-2.5732,0.0
66600,-16.0697,1.9821,-5.2012,0.0
66900,-16.0394,1.9776,-4.5265,0.0
67200,-15.9781,1.9737,-3.6159,0.0
67500,-16.0476,1.9964,-6.2551,0.0
67800,-15.9159,1.979,-4.634,0.0
68100,-15.8041,1.9933,-4.438,0.0
68400,-15.8956,1.9368,-5.118,0.0
68700,-15.8231,1.9714,-5.7473,0.0
69000,-15.914,1.987,-5.5418,0.0
69300,-15.8923,1.9696,-4.268,0.0
69600,-15.8601,1.9982,-4.8986,0.0
69900,-15.6981,2.0052,-4.5918,0.0
70200,-15.6191,1.9702,-5.4687,0.0
70500,-15.5412,1.9718,-2.7383,0.0
70800,-15.7201,1.9566,-3.5032,0.0
71100,-15.7535,1.9908,-4.1663,0.0
71400,-15.7043,1.9881,-5.3047,0.0
71700,-15.6017,1.9959,-4.4962,0.0
72000,-15.837,1.963,-5.6375,0.0
72300,-15.8925,1.9841,-3.5592,0.0
72600,-16.0851,1.989,-4.7051,0.0
72900,-16.265,1.9522,-5.6626,0.0
73200,-16.4894,1.9398,-4.3218,0.0
73500,-16.4819,1.9183,-4.7047,0.0
73800,-16.6302,1.9633,-5.4024,0.0
74100,-16.7483,1.9528,-4.7155,0.0
74400,-16.7129,1.9428,-5.024,0.0
74700,-17.0533,1.9329,-4.6137,0.0
75000,-17.1994,1.9214,-5.7187,0.0
75300,-17.2105,1.9513,-4.2846,0.0
75600,-17.2549,1.8636,-5.6853,0.0
75900,-17.175,1.9255,-4.463,0.0
76200,-17.4258,1.8724,-5.4332,0.0
76500,-17.7095,1.9361,-4.7792,0.0
76800,-18.0326,1.8041,-4.6009,0.0
77100,-18.1353,1.8708,-3.9734,0.0
77400,-18.3962,1.8665,-4.9378,0.0
77700,-18.7852,1.8831,-5.5085,0.0
78000,-19.2488,1.8236,-4.6764,0.0
78300,-19.6382,1.8476,-3.8093,0.0
78600,-19.6971,1.9058,-5.2958,0.0
78900,-19.6501,1.8691,-3.5686,0.0
79200,-19.7609,1.9147,-4.8399,0.0
79500,-19.8901,1.9648,-4.5559,0.0
79800,-20.0085,1.9645,-4.7129,0.0
80100,-19.94,1.9134,-5.1798,0.0
80400,-20.2386,1.9709,-5.68,0.0
80700,-20.4704,1.9847,-5.8633,0.0
81000,-20.3996,2.0498,-1.8949,0.0
81300,-20.4979,2.0347,-4.0398,0.0
81600,-20.4642,2.0447,-6.139,0.0
81900,-20.4424,2.0459,-5.042,0.0
82200,-20.2354,2.0745,-1.239,0.0
82500,-20.1333,2.0568,-4.5134,0.0
82800,-19.9695,2.0658,-2.1105,0.0
83100,-20.1812,2.0043,-5.6021,0.0
83400,-20.0089,2.09,-1.6324,0.0
83700,-19.8997,2.026,-2.5112,0.0
84000,-19.8367,2.0212,-4.6318,0.0
84300,-19.8263,2.0154,-5.3588,0.0
84600,-19.8681,2.0168,-4.8805,0.0
84900,-19.7506,2.0627,-4.033,0.0
85200,-19.7118,2.0154,-2.5906,0.0
85500,-19.7708,1.9937,-5.2081,0.0
85800,-19.7465,2.0657,-3.7891,0.0
86100,-19.9041,2.0728,-5.796,0.0
86400,-19.873,2.0748,-5.0082,0.0
86700,-19.8766,2.0614,-3.0715,0.0
87000,-19.605,2.0791,-2.835,0.0
87300,-19.6369,2.0325,-3.9087,0.0
87600,-19.4747,2.0519,-3.1915,0.0
87900,-19.3352,1.9831,-3.2486,0.0
88200,-19.2788,2.0328,-2.8619,0.0
88500,-19.2015,2.0118,-4.2525,0.0
88800,-18.9893,2.031,-3.5197,0.0
89100,-18.8664,2.0155,-5.1937,0.0
89400,-18.8491,2.0112,-2.9069,0.0
89700,-18.5696,1.9566,-5.781,0.0
90000,-18.3203,1.9554,-2.9403,0.0
90300,-18.4198,1.9956,-3.8548,0.0
90600,-18.4073,1.9866,-4.8795,0.0
90900,-18.3408,1.9723,-6.4869,0.0
91200,-18.2577,1.9844,-4.1003,0.0
91500,-17.9931,1.9735,-4.5616,0.0
91800,-17.5871,1.9786,-3.4761,0.0
92100,-17.5161,1.9581,-4.6803,0.0
92400,-17.4605,1.9501,-5.6161,0.0
92700,-17.2335,1.9071,-2.379,0.0
93000,-17.0643,1.9232,-3.819,0.0
93300,-16.7369,1.9251,-3.4448,0.0
93600,-16.5469,1.9176,-2.8262,0.0
93900,-16.5902,1.8773,-4.0068,0.0
94200,-16.4577,1.9274,-4.5058,0.0
94500,-16.3577,1.906,-3.6747,0.0
94800,-16.1369,1.7986,-2.8293,0.0
95100,-16.1375,1.8543,-4.7607,0.0
95400,-15.7531,1.7886,-3.004,0.0
95700,-15.5031,1.8798,-2.3826,0.0
96000,-15.6029,1.7798,-1.8243,0.0
96300,-15.7135,1.8778,-4.0996,0.0
96600,-15.8226,1.8711,-4.7865,0.0
96900,-15.7439,1.8233,-3.9451,0.0
97200,-15.8483,1.823,-2.7799,0.0
97500,-15.8227,1.6892,-4.5281,0.0
97800,-15.8062,1.6504,-2.0781,0.0
98100,-15.513,1.7124,-2.651,0.0
98400,-15.5328,1.6739,-2.0032,0.0
98700,-15.5978,1.6859,-4.3083,0.0
99000,-15.409,1.6193,-3.6092,0.0
99300,-15.4173,1.7493,-4.1642,0.0
99600,-15.3781,1.7274,-4.0267,0.0
99900,-15.5096,1.6974,-4.3032,0.0
100200,-15.5921,1.6764,-4.985,0.0
100500,-15.6477,1.711,-4.565,0.0
100800,-15.6549,1.6904,-4.0422,0.0
101100,-15.5881,1.7692,-4.8848,0.0
101400,-15.5493,1.7424,-3.611,0.0
101700,-15.6622,1.7643,-4.7196,0.0
102000,-15.7465,1.7185,-3.9276,0.0
102300,-15.7047,1.752,-4.0851,0.0
102600,-15.8869,1.8321,-4.4302,0.0
102900,-16.0774,1.7976,-3.5772,0.0
103200,-16.2721,1.737,-4.4794,0.0
103500,-16.2339,1.7484,-4.4453,0.0
103800,-16.4433,1.8037,-4.53,0.0
104100,-16.4872,1.7558,-4.9188,0.0
104400,-16.4908,1.7486,-5.4742,0.0
104700,-16.474,1.797,-2.5547,0.0
105000,-16.6391,1.8,-3.5896,0.0
105300,-16.5641,1.8289,-4.8918,0.0
105600,-16.5132,1.8362,-4.5359,0.0
105900,-16.5814,1.8656,-5.8785,0.0
106200,-16.6481,1.8791,-5.2973,0.0
106500,-16.8129,1.8748,-5.9746,0.0
106800,-16.9501,1.9361,-4.553,0.0
107100,-16.7376,1.8535,-4.5239,0.0
107400,-16.7553,1.9262,-5.1427,0.0
107700,-16.8382,1.9394,-4.4402,0.0
108000,-16.8982,1.9482,-3.3756,0.0
